
2024/10/02 (20:29:13) | ===> btop++ v.1.3.2
2024/10/02 (20:29:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (20:29:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/02 (20:30:22) | ===> btop++ v.1.3.2
2024/10/02 (20:30:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (20:30:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/02 (21:03:59) | ===> btop++ v.1.3.2
2024/10/02 (21:03:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/02 (21:03:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/03 (15:33:49) | ===> btop++ v.1.3.2
2024/10/03 (15:33:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/03 (15:33:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/09 (21:40:31) | ===> btop++ v.1.3.2
2024/10/09 (21:40:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/09 (21:40:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/10/12 (16:30:26) | ===> btop++ v.1.4.0
2024/10/12 (16:30:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/12 (16:30:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/12 (16:30:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (09:08:24) | ===> btop++ v.1.4.0
2024/10/13 (09:08:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (09:08:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/13 (09:08:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (09:09:38) | ===> btop++ v.1.4.0
2024/10/13 (09:09:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (09:09:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/13 (09:09:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (10:48:27) | ===> btop++ v.1.4.0
2024/10/13 (10:48:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (10:48:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/13 (10:48:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (13:40:00) | ===> btop++ v.1.4.0
2024/10/13 (13:40:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/13 (13:40:00) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/13 (13:40:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (20:34:27) | ===> btop++ v.1.4.0
2024/10/14 (20:34:27) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/14 (20:34:27) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/14 (20:34:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (21:10:42) | ===> btop++ v.1.4.0
2024/10/14 (21:10:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/14 (21:10:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/10/14 (21:10:42) | WARNING: Intel GPU: Failed to initialize PMU
